"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Sleep","","24-Oct-2020 19:25","24-Oct-2020 20:01",""
"Feeding","Left Breast","24-Oct-2020 19:21","24-Oct-2020 19:25",""
"Feeding","Right Breast","24-Oct-2020 18:06","24-Oct-2020 18:15",""
"Feeding","Left Breast","24-Oct-2020 17:08","24-Oct-2020 17:13",""
"Feeding","Right Breast","24-Oct-2020 16:11","24-Oct-2020 16:17",""
"Sleep","","24-Oct-2020 15:01","24-Oct-2020 16:11",""
"Sleep","","24-Oct-2020 13:32","24-Oct-2020 14:26",""
"Feeding","Left Breast","24-Oct-2020 13:28","24-Oct-2020 13:32",""
"Feeding","Right Breast","24-Oct-2020 12:23","24-Oct-2020 12:30",""
"Feeding","Left Breast","24-Oct-2020 11:15","24-Oct-2020 11:22",""
"Sleep","","24-Oct-2020 09:03","24-Oct-2020 10:58",""
"Feeding","Left Breast","24-Oct-2020 08:41","24-Oct-2020 08:47",""
"Sleep","","24-Oct-2020 07:21","24-Oct-2020 08:40",""
"Feeding","Right Breast","24-Oct-2020 07:12","24-Oct-2020 07:21",""
"Sleep","","24-Oct-2020 00:40","24-Oct-2020 07:12",""
"Feeding","Left Breast","24-Oct-2020 00:35","24-Oct-2020 00:39",""
"Sleep","","23-Oct-2020 23:54","24-Oct-2020 00:30",""
"Feeding","Right Breast","23-Oct-2020 23:44","23-Oct-2020 23:46",""
"Feeding","Left Breast","23-Oct-2020 23:28","23-Oct-2020 23:31",""
"Feeding","Right Breast","23-Oct-2020 23:27","23-Oct-2020 23:28",""
"Feeding","Right Breast","23-Oct-2020 22:24","23-Oct-2020 22:38",""
"Feeding","Left Breast","23-Oct-2020 21:52","23-Oct-2020 21:56",""
"Sleep","","23-Oct-2020 21:15","23-Oct-2020 21:40",""
"Feeding","Right Breast","23-Oct-2020 21:06","23-Oct-2020 21:14",""
"Feeding","Left Breast","23-Oct-2020 20:09","23-Oct-2020 20:18",""
"Sleep","","23-Oct-2020 19:04","23-Oct-2020 19:35",""
